text,Name,Number
A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,Bounsweet,#761
This immensely dangerous Pokémon possesses overwhelming physical strength. Its habitat is generally off-limits.,Bewear,#760
"Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.",Stufful,#759
"For some reason, only females have been found. It creates a reverse harem of male Salandit that it lives with.",Salazzle,#758
"It burns its bodily fluids to create a poisonous gas. When its enemies become disoriented from inhaling the gas, it attacks them.",Salandit,#757
Forests where Shiinotic live are treacherous to enter at night. People confused by its strange lights can never find their way home again.,Shiinotic,#756
It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.,Morelull,#755
"It requires a lot of effort to maintain Lurantis’s vivid coloring, but some collectors enjoy this work and treat it as their hobby.",Lurantis,#754
"During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep.",Fomantis,#753
"It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.",Araquanid,#752
It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.,Dewpider,#751
"It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.",Mudsdale,#750
The mud stuck to Mudbray’s hooves enhances its grip and its powerful running gait.,Mudbray,#749
Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake.,Toxapex,#748
"It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles.",Mareanie,#747
"When it’s in trouble, its eyes moisten and begin to shine. The shining light attracts its comrades, and they stand together against their enemies.",Wishiwashi,#746
"Its quick movements confuse its enemies. Well equipped with claws and fangs, it also uses the sharp rocks in its mane as weapons.",Lycanroc,#745
"It’s considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",Rockruff,#744
"It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.",Ribombee,#743
"It feeds on the nectar and pollen of flowers. Because it’s able to sense auras, it can identify which flowers are about to bloom.",Cutiefly,#742
"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames.",Oricorio,#741
"It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur.",Crabominable,#740
"It zips around, on sharp lookout for an opening. It concentrates electrical energy within its large jaws and uses it to zap its enemies.",Vikavolt,#738
"While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints.",Crabrawler,#739
"Its body is capable of storing electricity. On camping trips, people are grateful to have one around.",Charjabug,#737
Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,Grubbin,#736
"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall.",Gumshoos,#735
"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.",Yungoos,#734
"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.",Toucannon,#733
"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.",Trumbeak,#732
It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,Pikipek,#731
It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,Primarina,#730
"A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.",Brionne,#729
"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It’s famous for being a hard worker.",Popplio,#728
"This Pokémon has a violent, selfish disposition. If it’s not in the mood to listen, it will ignore its Trainer’s orders with complete nonchalance.",Incineroar,#727
"At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.",Torracat,#726
"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",Litten,#725
"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.",Decidueye,#724
"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",Dartrix,#723
"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",Rowlet,#722
It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.,Volcanion,#721
"This troublemaker sends anything and everything to faraway places using its loop, which can warp space.",Hoopa,#720
"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world.",Diancie,#719
"When the Kalos region’s ecosystem falls into disarray, it appears and reveals its secret power.",Zygarde,#718
"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures.",Yveltal,#717
Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.,Xerneas,#716
They fly around on moonless nights and attack careless prey. Nothing can beat them in a battle in the dark.,Noivern,#715
"They live in pitch-black caves. Their enormous ears can emit ultrasonic waves of 200,000 hertz.",Noibat,#714
Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.,Avalugg,#713
It blocks opponents’ attacks with the ice that shields its body. It uses cold air to repair any cracks with new ice.,Bergmite,#712
"Singing in eerie voices, they wander town streets on the night of the new moon. Anyone who hears their song is cursed.",Gourgeist,#711
"The pumpkin body is inhabited by a spirit trapped in this world. As the sun sets, it becomes restless and active.",Pumpkaboo,#710
"It can control trees at will. It will trap people who harm the forest, so they can never leave.",Trevenant,#709
These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.,Phantump,#708
These key collectors threaten any attackers by fiercely jingling their keys at them.,Klefki,#707
"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime.",Goodra,#706
"It drives away opponents by excreting a sticky liquid that can dissolve anything. Its eyes devolved, so it can’t see anything.",Sliggoo,#705
"The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn’t dry out.",Goomy,#704
"Born from the temperatures and pressures deep underground, it fires beams from the stone in its head.",Carbink,#703
"Its whiskers serve as antennas. By sending and receiving electrical waves, it can communicate with others over vast distances.",Dedenne,#702
"Although its body is small, its proficient fighting skills enable it to keep up with big bruisers like Machamp and Hariyama.",Hawlucha,#701
It sends a soothing aura from its ribbonlike feelers to calm fights.,Sylveon,#700
"The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice.",Aurorus,#699
This ancient Pokémon was restored from part of its body that had been frozen in ice for over 100 million years.,Amaura,#698
"Thanks to its gargantuan jaws, which could shred thick metal plates as if they were paper, it was invincible in the ancient world it once inhabited.",Tyrantrum,#697
"This Pokémon was restored from a fossil. If something happens that it doesn’t like, it throws a tantrum and runs wild.",Tyrunt,#696
"They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement.",Helioptile,#694
They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.,Heliolisk,#695
They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.,Clauncher,#692
Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.,Clawitzer,#693
"Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory.",Dragalge,#691
"Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off.",Skrelp,#690
"When they evolve, two Binacle multiply into seven. They fight with the power of seven Binacle.",Barbaracle,#689
"Two Binacle live together on one rock. When they fight, one of them will move to a different rock.",Binacle,#688
"It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants.",Malamar,#687
Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.,Inkay,#686
It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.,Slurpuff,#685
"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy.",Swirlix,#684
"It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle.",Aromatisse,#683
"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon.",Aegislash,#681
It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten.,Spritzee,#682
"When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons.",Doublade,#680
Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.,Honedge,#679
"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust.",Meowstic,#678
The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.,Espurr,#677
Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.,Furfrou,#676
"Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.",Pangoro,#675
"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.",Pancham,#674
It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,Gogoat,#673
"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.",Skiddo,#672
"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.",Florges,#671
It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.,Floette,#670
It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.,Flabébé,#669
The male with the largest mane of fire is the leader of the pride.,Pyroar,#668
"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",Litleo,#667
Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.,Vivillon,#666
"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.",Spewpa,#665
"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.",Scatterbug,#664
"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.",Talonflame,#663
"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.",Fletchinder,#662
These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.,Fletchling,#661
"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.",Diggersby,#660
They use their large ears to dig burrows. They will dig the whole night through.,Bunnelby,#659
"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",Greninja,#658
"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.",Frogadier,#657
It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,Froakie,#656
"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.",Delphox,#655
"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.",Braixen,#654
"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",Fennekin,#653
Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,Chesnaught,#652
It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.,Quilladin,#651
"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",Chespin,#650
"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma.",Genesect,#649
Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.,Meloetta,#648
"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling.",Keldeo,#647
"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",Kyurem,#646
"The energy that comes pouring from its tail increases the nutrition in the soil, making crops grow to great size.",Landorus,#645
"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",Zekrom,#644
"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",Reshiram,#643
Countless charred remains mar the landscape of places through which Thundurus has passed.,Thundurus,#642
The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,Tornadus,#641
This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,Virizion,#640
This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,Terrakion,#639
This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.,Cobalion,#638
"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.",Volcarona,#637
"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames.",Larvesta,#636
"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack.",Hydreigon,#635
"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",Zweilous,#634
"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.",Deino,#633
"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",Durant,#632
It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.,Heatmor,#631
It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.,Mandibuzz,#630
"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.",Vullaby,#629
They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,Braviary,#628
"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.",Rufflet,#627
"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",Bouffalant,#626
"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses.",Bisharp,#625
"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.",Pawniard,#624
It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,Golurk,#623
"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",Golett,#622
"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.",Druddigon,#621
It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,Mienshao,#620
"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.",Mienfoo,#619
"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",Stunfisk,#618
"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",Accelgor,#617
"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",Shelmet,#616
"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice.",Cryogonal,#615
"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey.",Beartic,#614
"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.",Cubchoo,#613
They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,Haxorus,#612
"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting.",Fraxure,#611
They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,Axew,#610
"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance.",Chandelure,#609
"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen.",Lampent,#608
"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.",Litwick,#607
"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers.",Beheeyem,#606
"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.",Elgyem,#605
They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,Eelektross,#604
They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,Eelektrik,#603
"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",Tynamo,#602
Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.,Klinklang,#601
"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.",Klang,#600
The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,Klink,#599
It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.,Ferrothorn,#598
"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",Ferroseed,#597
"When attacked, they create an electric barrier by spitting out many electrically charged threads.",Galvantula,#596
Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.,Joltik,#595
The special membrane enveloping Alomomola has the ability to heal wounds.,Alomomola,#594
"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",Jellicent,#593
"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.",Frillish,#592
"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.",Amoonguss,#591
"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",Foongus,#590
"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely.",Escavalier,#589
These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,Karrablast,#588
The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.,Emolga,#587
They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,Sawsbuck,#586
"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",Deerling,#585
"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards.",Vanilluxe,#584
"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.",Vanillish,#583
The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.,Vanillite,#582
Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,Swanna,#581
These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.,Ducklett,#580
"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.",Reuniclus,#579
"Since they have two divided brains, at times they suddenly try to take two different actions at once.",Duosion,#578
They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,Solosis,#577
Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,Gothitelle,#576
They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,Gothorita,#575
Their ribbonlike feelers increase their psychic power. They are always staring at something.,Gothita,#574
Their white fur is coated in a special oil that makes it easy for them to deflect attacks.,Cinccino,#573
"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.",Minccino,#572
Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,Zoroark,#571
"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.",Zorua,#570
It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,Garbodor,#569
Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.,Trubbish,#568
"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.",Archeops,#567
"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.",Archen,#566
They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.,Carracosta,#565
"Restored from a fossil, this Pokémon can dive to depths beyond half a mile.",Tirtouga,#564
It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.,Cofagrigus,#563
Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,Yamask,#562
"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast.",Sigilyph,#561
Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.,Scrafty,#560
"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.",Scraggy,#559
"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.",Crustle,#558
This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.,Dwebble,#557
It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,Maractus,#556
"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.",Darmanitan,#555
"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.",Darumaka,#554
"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.",Krookodile,#553
They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.,Krokorok,#552
They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.,Sandile,#551
"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",Basculin,#550
Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,Lilligant,#549
The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,Petilil,#548
"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind.",Whimsicott,#547
"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",Cottonee,#546
"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.",Scolipede,#545
"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.",Whirlipede,#544
"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",Venipede,#543
"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",Leavanny,#542
Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,Swadloon,#541
Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,Sewaddle,#540
The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.,Sawk,#539
"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.",Throh,#538
They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,Seismitoad,#537
"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land.",Palpitoad,#536
They warn others of danger by vibrating their cheeks to create a high-pitched sound.,Tympole,#535
"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.",Conkeldurr,#534
This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.,Gurdurr,#533
It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.,Timburr,#532
"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.",Audino,#531
It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.,Excadrill,#530
It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.,Drilbur,#529
"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks.",Swoobat,#528
Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.,Woobat,#527
Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.,Gigalith,#526
